datetime,ensemble_id,afvoergeb_id,value
2026-05-01 00:00:00,1,AFVG16,2.0483
2026-05-01 01:00:00,1,AFVG16,2.1268
2026-05-01 02:00:00,1,AFVG16,2.2178
2026-05-01 03:00:00,1,AFVG16,2.4199
2026-05-01 04:00:00,1,AFVG16,2.3733
2026-05-01 05:00:00,1,AFVG16,2.2431
2026-05-01 06:00:00,1,AFVG16,2.5895
2026-05-01 07:00:00,1,AFVG16,2.5677
2026-05-01 08:00:00,1,AFVG16,2.6393
2026-05-01 09:00:00,1,AFVG16,2.7485
2026-05-01 10:00:00,1,AFVG16,2.8202
2026-05-01 11:00:00,1,AFVG16,3.0087
2026-05-01 12:00:00,1,AFVG16,2.9757
2026-05-01 13:00:00,1,AFVG16,2.9307
2026-05-01 14:00:00,1,AFVG16,2.8339
2026-05-01 15:00:00,1,AFVG16,2.8165
2026-05-01 16:00:00,1,AFVG16,3.023
2026-05-01 17:00:00,1,AFVG16,3.1931
2026-05-01 18:00:00,1,AFVG16,3.0062
2026-05-01 19:00:00,1,AFVG16,2.9806
2026-05-01 20:00:00,1,AFVG16,3.066
2026-05-01 21:00:00,1,AFVG16,2.7511
2026-05-01 22:00:00,1,AFVG16,2.8984
2026-05-01 23:00:00,1,AFVG16,2.9883
2026-05-02 00:00:00,1,AFVG16,3.009
2026-05-02 01:00:00,1,AFVG16,2.799
2026-05-02 02:00:00,1,AFVG16,2.8429
2026-05-02 03:00:00,1,AFVG16,2.7695
2026-05-02 04:00:00,1,AFVG16,2.7904
2026-05-02 05:00:00,1,AFVG16,2.4421
2026-05-02 06:00:00,1,AFVG16,2.6262
2026-05-02 07:00:00,1,AFVG16,2.2419
2026-05-02 08:00:00,1,AFVG16,2.001
2026-05-02 09:00:00,1,AFVG16,2.225
2026-05-02 10:00:00,1,AFVG16,2.0986
2026-05-02 11:00:00,1,AFVG16,2.2857
2026-05-02 12:00:00,1,AFVG16,2.1712
2026-05-02 13:00:00,1,AFVG16,1.8054
2026-05-02 14:00:00,1,AFVG16,2.0322
2026-05-02 15:00:00,1,AFVG16,1.6722
2026-05-02 16:00:00,1,AFVG16,1.7283
2026-05-02 17:00:00,1,AFVG16,1.6176
2026-05-02 18:00:00,1,AFVG16,1.6017
2026-05-02 19:00:00,1,AFVG16,1.6331
2026-05-02 20:00:00,1,AFVG16,1.5352
2026-05-02 21:00:00,1,AFVG16,1.4249
2026-05-02 22:00:00,1,AFVG16,1.4073
2026-05-02 23:00:00,1,AFVG16,1.3238
2026-05-03 00:00:00,1,AFVG16,1.1053
2026-05-03 01:00:00,1,AFVG16,1.0446
2026-05-03 02:00:00,1,AFVG16,1.0405
2026-05-03 03:00:00,1,AFVG16,1.1509
2026-05-03 04:00:00,1,AFVG16,1.0099
2026-05-03 05:00:00,1,AFVG16,1.3757
2026-05-03 06:00:00,1,AFVG16,0.8872
2026-05-03 07:00:00,1,AFVG16,0.8369
2026-05-03 08:00:00,1,AFVG16,1.1156
2026-05-03 09:00:00,1,AFVG16,1.2191
2026-05-03 10:00:00,1,AFVG16,1.094
2026-05-03 11:00:00,1,AFVG16,1.1628
2026-05-03 12:00:00,1,AFVG16,1.2772
2026-05-03 13:00:00,1,AFVG16,1.0815
2026-05-03 14:00:00,1,AFVG16,0.9209
2026-05-03 15:00:00,1,AFVG16,1.0992
2026-05-03 16:00:00,1,AFVG16,1.3723
2026-05-03 17:00:00,1,AFVG16,1.0685
2026-05-03 18:00:00,1,AFVG16,1.3508
2026-05-03 19:00:00,1,AFVG16,1.449
2026-05-03 20:00:00,1,AFVG16,1.4329
2026-05-03 21:00:00,1,AFVG16,1.6617
2026-05-03 22:00:00,1,AFVG16,1.7163
2026-05-03 23:00:00,1,AFVG16,2.056
2026-05-01 00:00:00,2,AFVG16,2.2325
2026-05-01 01:00:00,2,AFVG16,2.1301
2026-05-01 02:00:00,2,AFVG16,2.2176
